clubid,name,division,based
6044,SCR Altach,Austrian Eliteleague Vorarlberg,Austria (Eliteleagu Vorarlberg)
6045,Scunthorpe,Sky Bet League Two,England (Sky Bet League Two)
6046,SD Raiders FC,National Premier Leagues - NSW 2,Australia (NPL 2 NSW)
6047,SDYuShor-3,Belarusian Lower League,Belarus (Lower League)
6048,Seacoast United Phantoms,USSL Division One Eastern Conference,U.S.A. (Eastern Conference)
6049,Seaford Rangers,South Australia - State League 2,Australia (SA - State League 2)
6050,Seaford United SC,Victorian State League 4 - South,Australia (Vic State League 4 South)
6051,Seaqaqa,Fijian Lower Division,Fiji (Lower Division)
6052,Seattle,Major League Soccer,U.S.A. (MLS)
6053,Seceani,Romanian Fourth League TimiÅ,Romania (Liga IV TimiÅ)
6054,Sedlcany,Czech Fourth Division A,Czech Republic (Fourth Division A)
6055,Seefeld,Swiss Lower Division,Switzerland (Lower Division)
6056,Segesta,Croatian Regional League - Sisak (3),Croatia (ZNL - Sisak)
6057,Segoviana,Spanish Third Division Group 8,Spain (Third Division Group 8)
6058,Sektzya Ma'alot,Israeli B League North A Division,Israel (B League North A)
6059,Selangor,Malaysian Super League,Malaysia (Super League)
6060,Selangor MPSJ,Malaysian Lower Division,Malaysia (Lower Division)
6061,Selfoss,Icelandic Second Division,Iceland (Second Division)
6062,Seligenporten,German Div. Bavaria North,Germany (Bavaria North)
6063,Sellana,Greek Regional Division Group 3,Greece (Regional Division 3)
6064,Selwyn Utd,New Zealand Mainland Division One,New Zealand (Mainland Division 1)
6065,Sembawang,Singaporean Lower Division,Singapore (Lower Division)
6066,Sembawang SC,Singaporean Lower Division,Singapore (Lower Division)
6067,Semen Padang,Indonesian League One,Indonesia (League One)
6068,Sementina,Swiss Lower Division,Switzerland (Lower Division)
6069,Semeru FC,Indonesian League Three,Indonesia (League Three)
6070,Sencur,Slovenian Third League West,Slovenia (Third League West)
6071,Sendai Lumiere FC,Nihon-League 1,Japan (Nihon-League 1)
6072,Sengkurong,Bruneian Lower Division,Brunei (Lower Division)
6073,Senica,Slovak First Division,Slovakia (First Division)
6074,Senja,Norwegian Second Division Group 2,Norway (Second Division Group 2)
6075,Sentilj,Slovenian Lower League,Slovenia (Lower League)
6076,Sentjur,Slovenian Lower League,Slovenia (Lower League)
6077,Seongnam,Hana 1Q K LEAGUE 1,South Korea (K LEAGUE 1)
6078,Seoul,Hana 1Q K LEAGUE 1,South Korea (K LEAGUE 1)
6079,Seoul E-Land,Hana 1Q K LEAGUE 2,South Korea (K LEAGUE 2)
6080,Seoul Utd,Korean K4 League,South Korea (K4 League)
6081,Sepahan,Iranian Professional League,Iran (Pro League)
6082,Sepehr Naghshe Jahan,Iranian Lower Division,Iran (Lower Division)
6083,Sepidroud,Iranian First Division,Iran (First Division)
6084,Sepsi OSK,Romanian First League,Romania (Casa Liga I)
6085,Septemvri Simitli,Bulgarian Third League South-West,Bulgaria
6086,Septemvri Sofia,Bulgarian Second League,Bulgaria (Second League)
6087,Septemvri Tervel,Bulgarian Third League North-East,Bulgaria (Third NE League)
6088,Seraing FC,Belgian First Amateur Division,Belgium (First Division)
6089,Serbian White Eagles,Canadian Soccer League,Canada (CSL)
6090,Sered,Slovak First Division,Slovakia (First Division)
6091,Seregno,Italian Serie D Grp. B,Italy (Serie D Grp. B)
6092,Sergipe,Brazilian National Fourth Division,Brazil (Fourth Division)
6093,Serik Bld.,Turkish 3. League Group 1,Turkey (3. League Group 1)
6094,Serranense,Brazilian National Lower Division,Brazil (Lower Division)
6095,Serrano (RJ),Brazilian National Lower Division,Brazil (Lower Division)
6096,Serrato Pacasmayo,Peruvian Copa Peru,Peru (Copa Peru)
6097,Serres 1800,Greek Amateur Division - Serres,Greece (GAD - Serres)
6098,Sertanense,Portugal Championship - Group C,Portugal (PT Championship C)
6099,Servette FC,Swiss Super League,Switzerland (Super League)
6100,Serviana,Greek Amateur Division - Ipeiros,Greece (GAD - Ipeiros)
6101,Sestao,Spanish Third Division Group 4,Spain (Third Division Group 4)
6102,Sesvete,Croatian Second League,Croatia (Second League)
6103,Sesvetski Kraljevac,Croatian Regional League - Zagreb (21),Croatia (ZNL - Zagreb)
6104,Setia Perdana,Bruneian Premier League,Brunei (Premier League)
6105,Seuzach,Swiss Second League Interregio Gr 6,Switzerland (Second League Inter Gr 6)
6106,Sevastopol,Crimean Lower Division,Crimea (Crimean Lower Division)
6107,Sevilla,Spanish First Division,Spain (First Division)
6108,Sevilla (PUR),Puerto Rican Soccer League 2nd Division,Puerto Rico (PRSL 2nd Div.)
6109,Sevilla B,Spanish Second Division B4,Spain (Second Division B4)
6110,Sevlievo,Bulgarian Third League North-West,Bulgaria (Third NW League)
6111,Sevojno,Serbian Zone League,Serbia (Zone League)
6112,SfB-Oure FA,Denmark's Series Group 3,Denmark (Denmark's Series Group 3)
6113,SFS Borac,Serbian Second League East,Serbia (Second League East)
6114,SG Stripfing/Angern,Austrian 1. Klasse North (NÃ),Austria (1. Klasse North (NÃ))
6115,SH Shenhua,Chinese Super League,China (Super League)
6116,SH Shenxin,Chinese National First Division,China (First Division)
6117,Sha'araim,Israeli A League South Division,Israel (A League South)
6118,Sha Tin,Hong Kong First Division,Hong Kong (China PR) (First Division)
6119,Shabab (BHR),Bahraini Premier League,Bahrain (Premier League)
6120,Shabab Al-Ahli,UAE Professional League,U.A.E. (Pro League)
6121,Shabab Al-Am'ary,Palestinian West Bank Premier League,Palestine (West Bank Premier)
6122,Shabab Al-Khalil,Palestinian West Bank Premier League,Palestine (West Bank Premier)
6123,Shabab Alsamu,Palestinian West Bank Premier League,Palestine (West Bank Premier)
6124,Shabab Bourj,Lebanese Premier League,Lebanon (Premier League)
6125,Shabab Hussein,Jordanian First Division,Jordan (First Division)
6126,Shabab Ordon,Jordanian Professional League,Jordan (Pro-League)
6127,Shahin Bandar,Iranian Lower Division,Iran (Lower Division)
6128,Shahr Khodro,Iranian Professional League,Iran (Pro League)
6129,Shahrdari Astara,Iranian Second Division Group A,Iran (Second Division A)
6130,Shahrdari Fuman,Iranian Second Division Group A,Iran (Second Division A)
6131,Shahrdari Mahshahr,Iranian Second Division Group B,Iran (Second Division B)
6132,Shahrdari Urmia,Iranian Lower Division,Iran (Lower Division)
6133,Shahzan Muda,Malaysian Lower Division,Malaysia (Lower Division)
6134,Shakhtar,Ukrainian Premier League,Ukraine (Premier League)
6135,Shakhter K.,Kazakhstan Premier League,Kazakhstan (Kazakhstan Premier League)
6136,Shakhter Soligorsk,Belarusian Highest League,Belarus (Highest League)
6137,Shamrock Rovers,Irish Premier Division,Ireland (Premier Division)
6138,Shandong,Chinese Super League,China (Super League)
6139,Shankill,Northern Irish Amateur Premier Division,N.Ireland (Amateur Premier Division)
6140,Sharjah,UAE Professional League,U.A.E. (Pro League)
6141,Shattuck-Saint Mary's,Unknown,Spain
6142,Sheff Utd,English Premier Division,England (Premier Division)
6143,Sheff Wed,Sky Bet Championship,England (Sky Bet Championship)
6144,Sheikh Russell KC (D),Bangladeshi Premier League,Bangladesh (Premier League)
6145,Shelbourne,Irish First Division,Ireland (First Division)
6146,Shell Cove FC,Illawarra Premier League,Australia (Premier League)
6147,Shenzhen,Chinese Super League,China (Super League)
6148,Sheriff Tiraspol,Moldovan Divizia NaÅ£ionalÄ,Moldova (Divizia NaÅ£ionalÄ)
6149,Sheriff Y.C.,Irish Dublin AUL Premier A Division,Ireland (AUL Premier A)
6150,Shevardeni Tbilisi,Georgian National League 2,Georgia (Georgian National League )
6151,Shikun HaMizrah,Israeli B League South B Division,Israel (B League South B)
6152,Shikun Vatikim,Israeli C League Tel-Aviv Division,Israel (C League Tel-Aviv)
6153,Shimshon,Israeli B League South A Division,Israel (B League South A)
6154,Shimshon Kfar Kasem,Israeli A League South Division,Israel (A League South)
6155,Shinnik,Russian First Division,Russia (First Division)
6156,Shinnik-2,Russian Third Division - Golden Ring,Russia (Third Division - GR)
6157,Shirak,Armenian High League,Armenia (High League)
6158,Shivajians,Indian Lower Division,India (Indian Lower Division)
6159,Shkendija,North Macedonian First League,North Macedonia (First League)
6160,Shooting Stars,Nigerian Second Division,Nigeria (Second Division)
6161,Shorts,Northern Irish Amateur Division 1C,N.Ireland (Amateur Division 1C)
6162,Shotts BA,Scottish Juniors West Region Championship,Scotland (West Championship)
6163,Shrewsbury,Sky Bet League One,England (Sky Bet League One)
6164,Shu'a Kfar Kasem,Israeli B League South A Division,Israel (B League South A)
6165,Siah Jamegan,Iranian Lower Division,Iran (Lower Division)
6166,Siarka,Polish Third Division Group 4,Poland (Third Division Group 4)
6167,Sibbo V,Finnish Lower Division,Finland (Lower Division)
6168,Sibenik,Croatian Regional League - Sibenik (15),Croatia (Second League)
6169,Sicula Leonzio,Italian Serie C/C,Italy (Serie C/C)
6170,Siebnen,Swiss Lower Division,Switzerland (Lower Division)
6171,Siena,Italian Serie C/A,Italy (Serie C/A)
6172,Siete Villas,Spanish Third Division Group 3,Spain (Third Division Group 3)
6173,SIF,Finnish Third Division,Finland (Finnish Third Division)
6174,Siglap,Singaporean National Football League Division Two,Singapore (NFL Division 2)
6175,Sigma FC,League1 Ontario,Canada (League1 Ontario)
6176,Sigma Olomouc,Czech First Division,Czech Republic (First Division)
6177,Siheung Citizen,Korean K4 League,South Korea (K4 League)
6178,SII,Brazilian National Third Division,Brazil (Third Division)
6179,Sileks,North Macedonian First League,North Macedonia (First League)
6180,Silivrispor,Turkish 3. League Group 1,Turkey (3. League Group 1)
6181,Silkeborg IF,3F Superliga,Denmark (3F Superliga)
6182,Silkeborg KFUM,Denmark's Series Group 4,Denmark (Denmark's Series Group 4)
6183,Silwan,Palestinian West Bank Lower Division,Palestine (West Bank Lower)
6184,Simba (TAN),Tanzanian Premier Division,Tanzania (Premier Division)
6185,Sime Darby,Malaysian Lower Division,Malaysia (Lower Division)
6186,Sindjelic,Serbian First League,Serbia (First League)
6187,Sindri,Icelandic Third Division,Iceland (Third Division)
6188,Singida United,Tanzanian Premier Division,Tanzania (Premier Division)
6189,Singleton Strikers,NNSW Northern League One,Australia (Northen League One)
6190,Sinop (MT),Brazilian National Fourth Division,Brazil (Fourth Division)
6191,Sintra Football,Portugal Championship - Group D,Portugal (PT Championship D)
6192,Sintrense,Portugal Championship - Group D,Portugal (PT Championship D)
6193,Sion,Swiss Promotion League,Switzerland (Promotion League)
6194,Sipesa,Peruvian Copa Peru,Peru (Copa Peru)
6195,SIPG,Chinese Super League,China (Super League)
6196,Siquinalá,Liga Nacional de Guatemala,Guatemala (Liga Nacional)
6197,Sirens,Maltese Premier League,Malta (Premier League)
6198,Sirnach,Swiss Lower Division,Switzerland (Lower Division)
6199,Sirocco Works,Northern Irish Amateur Division 1A,N.Ireland (Amateur Division 1A)
6200,Siroki Brijeg,Bosnian Premier League,Bosnia & Herzegovina (Premier League)
6201,Sisaket,Thai League Two,Thailand (Thai League 2)
6202,Sivas Bld.,Turkish 2. League Red Group,Turkey (2. League Red)
6203,Sivasspor,Turkish Super League,Turkey (Super League)
6204,Six-Fours Le Brusc FC,French Regional Divisions,France (Regional Divisions)
6205,SJK,Finnish Premier League,Finland (Premier League)
6206,SJK-j,Finnish Lower Division,Finland (Lower Division)
6207,SJZ Ever Bright,Chinese National First Division,China (First Division)
6208,SK Austria Klagenfurt,Austrian First Division,Austria (First Division)
6209,SK Bischofshofen,Austrian Regional Division Salzburg,Austria (Regional Div. Salzburg)
6210,SK Rapid Vienna,Austrian Premier Division,Austria (Premier Division)
6211,SK Sint-Niklaas,Belgian Second Amateur Division A,Belgium (Second Division A)
6212,SK Sturm Graz,Austrian Premier Division,Austria (Premier Division)
6213,SKA Khabarovsk,Russian First Division,Russia (First Division)
6214,SKA Rostov,Russian Second Division - South,Russia (Second Division - South)
6215,Skabrnja,Croatian Regional League - Zadar (13),Croatia (ZNL - Zadar)
6216,Skalica,Slovak Second Division,Slovakia (Second Division)
6217,Skalnik,Polish Fourth Division,Poland (Fourth Division)
6218,SKC Academy,Bluefin Sport Championship,Australia (NPL - Victoria 2)
6219,SKChF,Crimean Premier League,Crimea (Crimean Premier League)
6220,Skedsmo,Norwegian Fourth Division Group 2,Norway (Fourth Division Akershus)
6221,Skeid,Norwegian First Division,Norway (First Division)
6222,Skive IK,NordicBet Liga,Denmark (NordicBet Liga)
6223,Skoufas,Greek Amateur Division - Arta,Greece (GAD - Arta)
6224,Skovshoved,2. Division,Denmark (2. Division)
6225,SKU Amstetten,Austrian First Division,Austria (First Division)
6226,Skye Utd,Victorian State League 3 South-East,Australia (VIC SL 3SE)
6227,Slacks Creek,Brisbane Capital League 2,Australia (League 2)
6228,Slagelse,2. Division,Denmark (2. Division)
6229,Slatina,Croatian Regional League - Virovitica (10),Croatia (ZNL - Virovitica)
6230,Slatina Radenci,Slovenian Lower League,Slovenia (Lower League)
6231,Slaven Belupo,Croatian First League,Croatia (First League)
6232,Slaven Gruda,Croatian Regional League - Dubrovnik (19),Croatia (ZNL - Dubrovnik)
6233,Slavia Mozyr,Belarusian Highest League,Belarus (Highest League)
6234,Slavia Prague,Czech First Division,Czech Republic (First Division)
6235,Slavia Sofia,Bulgarian First League,Bulgaria (First League)
6236,Slavicin,Czech Fourth Division E,Czech Republic (Fourth Division E)
6237,Slavija,Republic of Srpska First League,Bosnia & Herzegovina (First League RS)
6238,Slavija Pleternica,Croatian Third League East,Croatia (Third League East)
6239,Slavoj Vysehrad,Czech Lower Division,Czech Republic (Lower Division)
6240,Slavonija,Croatian Third League East,Croatia (Third League East)
6241,SLB,Portuguese Premier League,Portugal (Premier League)
6242,SLB B,Portuguese Second League,Portugal (Second League)
6243,Sliema W.,Maltese Premier League,Malta (Premier League)
6244,Sligo Rovers,Irish Premier Division,Ireland (Premier Division)
6245,Slivnica,Slovenian Lower League,Slovenia (Lower League)
6246,Slivnishki geroy,Bulgarian Third League South-West,Bulgaria (Third SW League)
6247,Sloboda,Serbian Zone League,Serbia (Zone League)
6248,Sloboda (C),Serbian Zone League,Serbia (Zone League)
6249,Sloboda (MG),Bosnian Lower League,Bosnia & Herzegovina (Lower League)
6250,Sloboda (NK),Serbian Zone League,Serbia (Zone League)
6251,Sloboda Tuzla,Bosnian Premier League,Bosnia & Herzegovina (Premier League)
6252,Sloga,Serbian Second League West,Serbia (Second League West)
6253,Sloga (C),Serbian Lower League,Serbia (Lower League)
6254,Sloga (Co),Serbian Zone League,Serbia (Zone League)
6255,Sloga (E),Serbian Zone League,Serbia (Zone League)
6256,Sloga (Li),Serbian Lower League,Serbia (Lower League)
6257,Sloga (P),Serbian Second League West,Serbia (Second League West)
6258,Sloga (S),Serbian Zone League,Serbia (Zone League)
6259,Sloga (T),Serbian Zone League,Serbia (Zone League)
6260,Sloga 1940,Serbian Zone League,Serbia (Zone League)
6261,Sloga 33,Serbian Second League West,Serbia (Second League West)
6262,Sloga Gredelj,Croatian Regional League - Zagreb (21),Croatia (ZNL - Zagreb)
6263,Sloga Mravince,Croatian Third League South,Croatia (Third League South)
6264,Sloga NG,Croatian Third League East,Croatia (Third League East)
6265,Slonim,Belarusian First League,Belarus (First League)
6266,Slovacko,Czech First Division,Czech Republic (First Division)
6267,Slovan,Slovenian Lower League,Slovenia (Lower League)
6268,Slovan Bratislava,Slovak First Division,Slovakia (First Division)
6269,Slovan Liberec,Czech First Division,Czech Republic (First Division)
6270,Slovenj Gradec,Slovenian Lower League,Slovenia (Lower League)
6271,Sluch Starokostyantyniv,Ukrainian Reg Div - Khmelnyts'ka oblast - D1,Ukraine (URD - Khmelnyts'ka - D1)
6272,Slutsk,Belarusian Highest League,Belarus (Highest League)
6273,SM Caen,Domino's Ligue 2,France (Domino's Ligue 2)
6274,SM Sanga Balende,DR Congolese Premier Division,DR Congo (Premier Division)
6275,Smarje,Slovenian Lower League,Slovenia (Lower League)
6276,Smartno,Slovenian Third League East,Slovenia (Third League East)
6277,Smederevo,Serbian First League,Serbia (First League)
6278,SMIavtotrans,Belarusian Second League,Belarus (Second League)
6279,Smitshoek,Dutch Hoofdklasse Zaterdag A,Holland (Zaterdag A)
6280,Smolevichi,Belarusian First League,Belarus (First League)
6281,Smolikas,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
6282,Smorgon,Belarusian First League,Belarus (First League)
6283,Smouha,Egyptian Premier League,Egypt (Premier League)
6284,So'g'diyona,Uzbekistan Superleague,Uzbekistan (Superleague)
6285,SO Cholet,French National,France (National)
